SCHOOL,to,salutation
UCLA,jenail@econ.ucla.edu,To our Econ colleagues at UCLA:
UCSB,ugrad@econ.ucsb.edu,To our Econ colleagues at UCSB:
UCSD,grondina@ucsd.edu;prbharadwaj@ucsd.edu;daarnold@ucsd.edu;mmuendler@ucsd.edu,To our Econ colleagues at UCSD:
UChicago,juliew@uchicago.edu,To our Econ colleagues at UChicago:
UNC,ECON_UndergradProgram@unc.edu;geethav@email.unc.edu,To our Econ colleagues at UNC:
UPENN,econ-ugrad@sas.upenn.edu,To our Econ colleagues at UPENN:
UPENN Wharton,pennartz@wharton.upenn.edu;ehemming@wharton.upenn.edu;mbaprogram@wharton.upenn.edu,To our Econ colleagues at UPENN Wharton:
USC,kehuffma@usc.edu,To our Econ colleagues at USC:
UT Austin,ecoadvisors@austin.utexas.edu,To our Econ colleagues at UT Austin:
UVA,jh4xd@virginia.edu;ciliberto@virginia.edu,To our Econ colleagues at UVA:
University of Florida,thomas.knight@ufl.edu;floridamba@warrington.ufl.edu,To our Econ colleagues at University of Florida:
University of Illinois-Urbana-Champaign,econ@illinois.edu,To our Econ colleagues at University of Illinois-Urbana-Champaign:
University of Miami,undergraduatebusiness@miami.edu;jbatridge@miami.edu;mba@miami.edu;vxo93@miami.edu;dxa1048@miami.edu,To our Econ colleagues at University of Miami:
University of Michigan,econ-ug@umich.edu,To our Econ colleagues at University of Michigan:
University of Missouri - Columbia,economics@missouri.edu,To our Econ colleagues at University of Missouri - Columbia:
University of North Dakota,jeannie.lewis@und.edu,To our Econ colleagues at University of North Dakota:
University of Notre Dame,gchrapli@nd.edu;econ@nd.edu;esims1@nd.edu;fspence@nd.edu;dcreal@nd.edu,To our Econ colleagues at University of Notre Dame:
University of Pittsburgh,EconAdvisor@pitt.edu;lfm25@pitt.edu;gev26@pitt.edu,To our Econ colleagues at University of Pittsburgh:
University of Washington,econdept@uw.edu;ezivot@uw.edu;akotila@uw.edu;atcuw@uw.edu,To our Econ colleagues at University of Washington:
Vanderbilt,economics@vanderbilt.edu;brooke.talley@vanderbilt.edu;k.saggi@vanderbilt.edu;brian.beach@vanderbilt.edu;r.saggi@vanderbilt.edu,To our Econ colleagues at Vanderbilt:
Virginia Tech,ssarangi@vt.edu;eperdue@vt.edu;wibebout@vt.edu;busadvising@vt.edu;ridpathk@vt.edu;deaneng@vt.edu;liberalartsdean@vt.edu,To our Econ colleagues at Virginia Tech:
Wake Forest University,deanofthecollege@wfu.edu;rossdd@wfu.edu;herbstk@wfu.edu,To our Econ colleagues at Wake Forest University:
Washington University in St. Louis,OlinGradAdmissions@wustl.edu;ckroeger@wustl.edu;s.andrew@wustl.edu,To our Econ colleagues at Washington University in St. Louis:
William & Mary,info@mason.wm.edu;ken.white@mason.wm.edu;slstaf@wm.edu;klobri@wm.edu,To our Econ colleagues at William & Mary:
Yale,economics@yale.edu;tony.smith@yale.edu;yuichi.kitamura@yale.edu;giovanni.maggi@yale.edu,To our Econ colleagues at Yale:
